stage,floors,aspect,azimuth,x,y,tower_plate,tower_long,tower_short,podium_floors,podium_plate,podium_aspect,podium_x,podium_y,podium_az,new_fail,new_ok,coverage_m2,bcr_pct,gfa_m2,far_pct,height_m,mean_total_h
D 미세조정,39,2.25,165.0,194311.2,546960.7,330.3,27.26,12.12,10,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580.0,400.0,119.05,4.21
D 미세조정,39,2.5,165.0,194311.2,546960.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580.0,400.0,119.05,4.209
D 미세조정,39,2.5,170.0,194311.2,546964.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580.0,400.0,119.05,4.202
D 미세조정,39,2.75,165.0,194307.2,546968.7,330.3,30.14,10.96,10,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580.0,400.0,119.05,4.199
D 미세조정,39,2.75,165.0,194311.2,546960.7,330.3,30.14,10.96,10,2800.0,1.6,194295.2,546944.7,52.0,32,44,2909.8,30.97,37580.0,400.0,119.05,4.208
D 미세조정,39,2.0,170.0,194307.2,546972.7,330.3,25.7,12.85,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.195
D 미세조정,39,2.0,170.0,194311.2,546968.7,330.3,25.7,12.85,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.196
D 미세조정,39,2.25,170.0,194307.2,546972.7,330.3,27.26,12.12,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.195
D 미세조정,39,2.25,170.0,194311.2,546968.7,330.3,27.26,12.12,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.196
D 미세조정,39,2.5,160.0,194307.2,546976.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.18
D 미세조정,39,2.5,160.0,194311.2,546960.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.204
D 미세조정,39,2.5,170.0,194307.2,546972.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.194
D 미세조정,39,2.5,170.0,194311.2,546968.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.196
D 미세조정,39,2.75,160.0,194307.2,546976.7,330.3,30.14,10.96,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.177
D 미세조정,39,2.75,160.0,194311.2,546960.7,330.3,30.14,10.96,10,2800.0,1.6,194295.2,546944.7,52.0,33,43,2909.8,30.97,37580.0,400.0,119.05,4.202
D 미세조정,39,2.75,170.0,194311.2,546968.7,330.3,30.14,10.96,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.196
D 미세조정,39,3.125,160.0,194307.2,546976.7,330.3,32.13,10.28,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.176
D 미세조정,39,3.125,160.0,194311.2,546960.7,330.3,32.13,10.28,10,2800.0,1.6,194295.2,546944.7,52.0,33,43,2909.8,30.97,37580.0,400.0,119.05,4.201
D 미세조정,39,3.125,170.0,194311.2,546968.7,330.3,32.13,10.28,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.194
D 미세조정,39,3.125,175.0,194307.2,546976.7,330.3,32.13,10.28,10,2800.0,1.6,194295.2,546944.7,52.0,33,44,2909.8,30.97,37580.0,400.0,119.05,4.186
D 미세조정,39,2.25,160.0,194307.2,546972.7,330.3,27.26,12.12,10,2800.0,1.6,194295.2,546944.7,52.0,34,44,2909.8,30.97,37580.0,400.0,119.05,4.187
D 미세조정,39,2.5,170.0,194311.2,546972.7,330.3,28.74,11.5,10,2800.0,1.6,194295.2,546944.7,52.0,34,44,2909.8,30.97,37580.0,400.0,119.05,4.186
